"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.10,,,0.000,1.29,,,0.000,1.31,,,0.000,1.32,,,0.000,1.38,,,0.000,1.40,,,0.000,1.39,,,0.000,1.39,,,0.000,1.43,,,0.000,1.38,,
0.050,1.10,0.02,,0.050,1.29,0.00,,0.050,1.32,0.09,,0.050,1.31,-0.09,,0.050,1.38,-0.01,,0.050,1.40,-0.01,,0.050,1.39,0.00,,0.050,1.39,-0.03,,0.050,1.43,0.02,,0.050,1.38,0.00,
0.100,1.10,0.02,0.49,0.100,1.29,4.45E-4,0.00,0.100,1.32,0.07,-0.36,0.100,1.31,-0.24,-3.58,0.100,1.38,0.06,0.39,0.100,1.40,0.00,0.05,0.100,1.39,0.00,-0.03,0.100,1.39,-0.03,0.32,0.100,1.43,0.00,-0.30,0.100,1.38,0.01,0.05
0.150,1.10,0.06,0.19,0.150,1.29,0.00,0.10,0.150,1.33,0.05,-0.32,0.150,1.29,-0.44,-3.38,0.150,1.39,0.03,-1.49,0.150,1.40,0.00,0.01,0.150,1.39,4.35E-4,0.02,0.150,1.39,-7.10E-4,0.64,0.150,1.43,-0.01,-0.15,0.150,1.38,0.00,0.32
0.200,1.10,0.05,-0.21,0.200,1.29,0.02,-0.23,0.200,1.32,0.03,-0.18,0.200,1.26,-0.62,-2.61,0.200,1.39,-0.10,-2.77,0.200,1.40,6.07E-4,-0.04,0.200,1.39,0.00,0.17,0.200,1.39,0.09,-0.41,0.200,1.43,-0.01,-0.07,0.200,1.38,0.03,0.24
0.250,1.11,0.05,-0.77,0.250,1.29,0.02,-1.22,0.250,1.33,0.03,-0.42,0.250,1.22,-0.72,-1.53,0.250,1.38,-0.30,-3.09,0.250,1.40,-0.01,-0.12,0.250,1.39,0.01,0.13,0.250,1.39,0.04,-2.45,0.250,1.43,-0.01,-0.05,0.250,1.38,0.06,-0.53
0.300,1.10,-0.02,-1.24,0.300,1.29,-0.08,-2.51,0.300,1.33,0.04,-1.42,0.300,1.19,-0.75,-0.86,0.300,1.36,-0.45,-2.65,0.300,1.40,-0.01,-0.11,0.300,1.39,0.04,-0.61,0.300,1.41,-0.19,-3.92,0.300,1.43,-0.01,0.00,0.300,1.39,0.01,-1.94
0.350,1.12,-0.10,-1.86,0.350,1.29,-0.27,-3.20,0.350,1.33,-0.08,-2.77,0.350,1.15,-0.77,-0.74,0.350,1.33,-0.55,-2.05,0.350,1.40,-0.03,0.07,0.350,1.39,0.00,-2.04,0.350,1.37,-0.45,-3.60,0.350,1.43,-0.01,0.10,0.350,1.39,-0.14,-3.02
0.400,1.09,-0.18,-2.37,0.400,1.26,-0.45,-2.83,0.400,1.33,-0.28,-3.43,0.400,1.11,-0.82,-0.85,0.400,1.31,-0.64,-1.57,0.400,1.40,-0.01,0.24,0.400,1.40,-0.17,-3.31,0.400,1.35,-0.59,-2.41,0.400,1.43,-0.01,0.16,0.400,1.38,-0.34,-3.15
0.450,1.09,-0.35,-2.79,0.450,1.24,-0.57,-1.96,0.450,1.30,-0.48,-2.90,0.450,1.07,-0.86,-0.92,0.450,1.27,-0.72,-1.10,0.450,1.40,0.02,-0.33,0.450,1.38,-0.39,-3.38,0.450,1.32,-0.64,-1.62,0.450,1.43,0.01,0.17,0.450,1.35,-0.49,-2.52
