"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,1.32,,,0.000,1.28,,,0.000,1.32,,,0.000,1.22,,,0.000,1.30,,,0.000,1.25,,,0.000,1.33,,,0.000,1.33,,,0.000,1.35,,,0.000,1.29,,
0.020,1.32,-0.05,,0.020,1.28,-0.01,,0.020,1.32,0.01,,0.020,1.22,-0.05,,0.020,1.30,-0.02,,0.020,1.25,-0.01,,0.020,1.33,-0.02,,0.020,1.37,-5.11,,0.020,1.35,-0.01,,0.020,1.29,-0.02,
0.040,1.32,-0.17,-3.38,0.040,1.28,0.00,0.25,0.040,1.32,0.01,-0.19,0.040,1.22,-0.01,1.31,0.040,1.30,-0.01,0.58,0.040,1.25,0.00,0.32,0.040,1.33,-0.01,0.44,0.040,1.12,-3.68,78.02,0.040,1.35,-0.02,-0.26,0.040,1.29,-0.01,0.57
0.060,1.31,-0.18,0.19,0.060,1.28,0.00,0.10,0.060,1.32,0.00,-0.25,0.060,1.22,0.01,0.66,0.060,1.30,0.00,0.28,0.060,1.25,0.01,0.18,0.060,1.33,0.00,0.39,0.060,1.13,-1.99,73.67,0.060,1.35,-0.02,-0.18,0.060,1.29,0.00,0.70
0.080,1.31,-0.13,1.83,0.080,1.28,5.32E-4,-0.05,0.080,1.32,0.00,-0.24,0.080,1.22,0.01,0.21,0.080,1.30,2.71E-4,0.06,0.080,1.25,0.01,0.06,0.080,1.33,0.01,0.33,0.080,1.12,0.02,47.98,0.080,1.35,-0.03,-0.10,0.080,1.29,0.02,0.69
0.100,1.31,-0.07,1.56,0.100,1.28,0.00,-0.18,0.100,1.32,-0.01,-0.16,0.100,1.22,0.01,-0.04,0.100,1.30,0.00,-0.04,0.100,1.25,0.01,-0.02,0.100,1.33,0.01,0.27,0.100,1.13,0.04,16.69,0.100,1.35,-0.03,-0.07,0.100,1.29,0.03,0.32
0.120,1.30,-0.06,0.86,0.120,1.28,-0.01,-0.24,0.120,1.32,-0.01,-0.07,0.120,1.22,0.01,-0.12,0.120,1.30,0.00,-0.03,0.120,1.25,0.01,-0.10,0.120,1.33,0.02,0.22,0.120,1.12,0.06,-0.84,0.120,1.35,-0.03,-0.09,0.120,1.29,0.04,-0.50
0.140,1.30,-0.06,0.75,0.140,1.28,-0.01,-0.17,0.140,1.32,-0.01,-0.02,0.140,1.22,0.00,-0.14,0.140,1.30,0.00,0.02,0.140,1.25,0.01,-0.17,0.140,1.33,0.02,0.14,0.140,1.13,-0.02,-1.16,0.140,1.35,-0.03,-0.12,0.140,1.29,0.02,-1.15
0.160,1.30,-0.04,0.75,0.160,1.28,-0.02,-0.02,0.160,1.32,-0.01,-0.04,0.160,1.22,0.00,-0.11,0.160,1.30,0.00,0.05,0.160,1.25,7.83E-4,-0.19,0.160,1.33,0.02,-0.01,0.160,1.13,-0.02,-0.73,0.160,1.35,-0.03,-0.06,0.160,1.29,-0.02,-1.10
0.180,1.30,-0.01,0.05,0.180,1.28,-0.01,0.04,0.180,1.32,-0.01,-0.05,0.180,1.22,0.00,-0.05,0.180,1.30,0.00,0.03,0.180,1.25,0.00,-0.15,0.180,1.33,0.02,-0.35,0.180,1.12,-0.02,0.08,0.180,1.35,-0.03,0.07,0.180,1.29,-0.04,-0.40
